municipality,zip_code,age,gender,state,municipality_type
Unknown,02702,25,F,MA,state
Town Of Bedford,34465,65,F,FL,municipal
Unknown,02370,55,F,MA,state
Unknown,81520,20,F,CO,state
Unknown,60617,54,F,IL,state
Unknown,98122,57,M,WA,state
Unknown,34293,25,F,FL,state
Unknown,34293,25,F,FL,state
Unknown,33955,64,M,FL,state
Unknown,80108,29,F,CO,state
Unknown,34759,59,F,FL,state
Unknown,75126,29,F,TX,state
Unknown,32901,62,F,FL,state
Unknown,01002,4,F,MA,state
Unknown,33848,55,M,FL,state
Unknown,27702,66,F,NC,state
Unknown,33952,63,F,FL,state
City Of Springfield,28314,54,M,NC,municipal
Unknown,29579,52,F,SC,state
Unknown,29426,64,M,SC,state
Unknown,77868,56,M,TX,state
Unknown,01340,57,F,MA,state
Unknown,34293,55,M,FL,state
Unknown,02641,63,F,MA,state
Unknown,33556,60,F,FL,state
Unknown,29708,53,F,SC,state
Unknown,33458,4,M,FL,state
Unknown,70737,39,F,LA,state
Unknown,78717,32,M,TX,state
Unknown,33573,61,F,FL,state
Unknown,32940,68,M,FL,state
Unknown,34677,64,M,FL,state
Unknown,34695,64,F,FL,state
Unknown,98122,78,M,WA,state
Unknown,85255,84,M,AZ,state
Unknown,02152,63,M,MA,state
Unknown,34135,68,M,FL,state
Unknown,14850,71,F,NY,state
Unknown,27518,16,F,NC,state
Unknown,27518,16,F,NC,state
Unknown,02169,61,M,MA,state
Unknown,32092,49,M,FL,state
Unknown,32034,61,M,FL,state
Unknown,32034,63,M,FL,state
Unknown,29650,72,M,SC,state
Unknown,68526,75,M,NE,state
Unknown,40241,50,F,KY,state
Unknown,10027,44,F,NY,state
Unknown,33905,49,M,FL,state
Unknown,29576,60,M,SC,state
Unknown,40517,24,F,KY,state
Unknown,34221,52,F,FL,state
Unknown,33477,59,F,FL,state
Unknown,80238,48,M,CO,state
Unknown,34103,77,M,FL,state
Unknown,34212,53,M,FL,state
Unknown,02893,51,F,RI,state
Unknown,29588,62,M,SC,state
Unknown,34209,62,F,FL,state
Unknown,50265,59,M,IA,state
Unknown,33573,56,M,FL,state
Unknown,02359,60,F,MA,state
Town Of Middleborough,32132,47,F,FL,municipal
Unknown,33881,59,F,FL,state
Unknown,34114,64,F,FL,state
Unknown,34114,64,F,FL,state
Unknown,12534,22,M,NY,state
Unknown,27101,72,M,NC,state
Unknown,70807,53,F,LA,state
Unknown,33139,24,F,FL,state
Unknown,34134,23,M,FL,state
Unknown,34479,61,F,FL,state
Unknown,12137,57,F,NY,state
Unknown,29577,76,M,SC,state
Unknown,60613,34,M,IL,state
City Of Springfield,29579,25,F,SC,municipal
Unknown,27596,52,M,NC,state
City Of Springfield,33947,64,M,FL,municipal
Unknown,34481,52,F,FL,state
Unknown,02893,17,F,RI,state
Town Of Wakefield,34110,58,F,FL,municipal
Unknown,75670,34,M,TX,state
Unknown,28590,57,F,NC,state
Town Of Lexington,60124,80,F,IL,municipal
Town Of Weymouth,32757,62,F,FL,municipal
Unknown,85739,62,F,AZ,state
Unknown,33928,58,F,FL,state
City Of Lowell,33417,72,M,FL,municipal
Unknown,29566,70,M,SC,state
Unknown,41031,61,M,KY,state
Unknown,32068,34,F,FL,state
Unknown,85118,81,F,AZ,state
Unknown,34747,79,M,FL,state
Unknown,11238,39,F,NY,state
Unknown,29654,24,M,SC,state
Unknown,34711,63,M,FL,state
Unknown,34476,59,F,FL,state
Unknown,30252,59,F,GA,state
Town Of Weymouth,02562,59,F,MA,municipal
Unknown,27596,62,F,NC,state
Unknown,32092,13,M,FL,state
Unknown,01075,58,F,MA,state
Unknown,34207,63,F,FL,state
Town Of Marblehead,34689,72,F,FL,municipal
Unknown,38028,63,F,TN,state
City Of Springfield,29526,25,M,SC,municipal
City Of Lowell,30122,56,M,GA,municipal
Unknown,34286,55,M,FL,state
Unknown,28289,50,M,NC,state
Unknown,85338,61,F,AZ,state
Unknown,20001,64,F,DC,state
Unknown,34222,61,M,FL,state
Unknown,20152,55,M,VA,state
Unknown,26452,63,F,WV,state
Unknown,07722,18,M,NJ,state
Unknown,29579,23,F,SC,state
Unknown,89123,57,M,NV,state
Unknown,34211,58,F,FL,state
Unknown,32908,58,F,FL,state
Unknown,92506,50,F,CA,state
Unknown,34231,56,M,FL,state
Unknown,11768,77,F,NY,state
Unknown,73170,17,M,OK,state
Town Of Watertown,33713,61,F,FL,municipal
Town Of Lexington,33908,61,F,FL,municipal
Unknown,01720,59,F,MA,state
Unknown,12090,23,M,NY,state
Unknown,30127,25,M,GA,state
City Of Springfield,33460,22,M,FL,municipal
Unknown,88012,60,M,NM,state
City Of Lowell,34689,60,F,FL,municipal
Unknown,30014,57,M,GA,state
Unknown,32119,87,M,FL,state
Unknown,96740,60,M,HI,state
Unknown,01464,25,M,MA,state
Unknown,78249,77,M,TX,state
Unknown,30002,64,F,GA,state
Unknown,80122,29,M,CO,state
Unknown,29072,56,M,SC,state
City Of Springfield,32163,56,F,FL,municipal
Unknown,14456,53,F,NY,state
Unknown,34453,61,M,FL,state
Unknown,01970,64,F,MA,state
City Of Springfield,28052,68,M,NC,municipal
Unknown,17301,79,M,PA,state
Unknown,02478,61,F,MA,state
Unknown,22101,35,F,VA,state
